"No","Questions","Answers"
"1","Apa itu MSIB?","Program Magang dan Studi Independen Bersertifikat Kampus Merdeka memberikan kesempatan kepada mahasiswa untuk mengasah dan mendapatkan kemampuan, pengetahuan dan sikap di dunia industri dengan cara bekerja dan belajar secara langsung dalam proyek atau permasalahan riil. Pengalaman belajar di luar perguruan tinggi selama lebih dari 16 minggu hingga 24 minggu dengan aktivitas pembelajaran yang terstruktur akan dikonversi ke SKS Mahasiswa"
"2","Apakah program Magang atau Studi Independen dilaksanakan secara luring?","Program Magang atau Studi Independen dapat dilaksanakan secara luring, daring, atau hybrid. Hal tersebut menjadi pilihan masing-masing Mitra Industri."
"3","Apa itu Magang?","Kegiatan dimana mahasiswa bekerja di organisasi mitra sebagai trainee selama periode waktu terbatas"
"4","Apa kriteria Magang?","Berikut adalah kriteria Magang:
1. Mahasiswa diberikan proyek riil yang memiliki nilai strategis bagi industri dan dikerjakan secara berkelompok lintas disiplin ilmu
2. Dalam menyelesaikan proyek diberikan pengetahuan melalui modul pembelajaran yang relevan dengan persoalan proyek dengan pendampingan mentor profesional (10 mahasiswa minimal didampingi 1 mentor)
3. Dilakukan dalam periode 16 minggu hingga 24 minggu
4. Mahasiswa mendapatkan peluang untuk menjadi FTE (Full Time Employee) setelah perfomanya dinilai selama periode magang, selain itu sertfikiasi keterampilan dari industri juga akan memberikan nilai yang tinggi bagi Mahasiswa"
"5","Apa itu Studi Independen?","Program pembelajaran non-gelar yang diselenggarakan oleh organisasi atau industri yang menyediakan pengetahuan dan keterampilan dengan tingkat relevansi tinggi di dunia kerja dan dunia usaha dalam bentuk kursus singkat (short course), kemah kerja (bootcamp), massive open online course (MOOC), dan lainnya, yang dilanjutkan dengan kegiatan kolaborasi bersama dengan sesama peserta maupun personil organisasi mitra dalam suatu proyek atau studi kasus."
"6","Pengumpulan Surat Rekomendasi dan Surat Pernyataan Tanggung Jawab Mutlak ","1. Dilakukan di awal pendaftaran
2. Mahasiswa tidak dapat melamar sebelum menyelesaikan pengumpulan SR dan SPTJM (klik tombol ""submit)
3. Terdapat fitur simpan dokumen, mahasiswa dapat mereviu dan merevisi dokumen yang diunggah sebelum submit. Setelah submit, dokumen yang diunggah tidak dapat direvisi kembali."
"7","Kuota lamaran","Jumlah lamaran dibatasi maksimal 22 lamaran per mahasiswa"
"8","Proses seleksi","Proses seleksi oleh mitra dilakukan bagi mahasiswa yang lolos seleksi berkas dan Tes Kebinekaan."
"9","Lini Masa","1. 18 April - 7 Juni 2023 : Pendaftaran Mahasiswa
2. 8 - 18 Juni 2023 : Verifikasi dan validasi berkas mahasiswa
3. 21 - 23 Juni 2023 : Tes Kebinekaan
4. 1 - 30 Juli 2023 : Seleksi dan offering mahasiswa oleh mitra
5. Minggu ke-2 Agustus 2023 : Pengumuman hasil seleksi
6. 14 Agustus 2023 : National Onboarding"
"10","Syarat dan Ketentuan","Silahkan kunjungi link berikut untuk informasi tersebut : https://pusatinformasi.kampusmerdeka.kemdikbud.go.id/hc/en-us/articles/4417239114905-Syarat-Ketentuan-Pendaftaran-Mahasiswa-Magang-Studi-Independen-Bersertifikat-MSIB-"
"11","Template ","1. Surat Rekomendasi: http://ringkas.kemdikbud.go.id/SrtRekomendasiMSIB5 
2. SPTJM: http://ringkas.kemdikbud.go.id/SPTJMMSIB5 
3. Info lebih lanjut terkait dokumen pendaftaran dapat dicek di https://pusatinformasi.kampusmerdeka.kemdikbud.go.id/hc/en-us/articles/4417256435353-Ketentuan-Dokumen-untuk-Pendaftaran-Mahasiswa-MSIB"
"12","Link daftar Magang","Silahkan kunjungi link berikut untuk informasi tersebut  : https://kampusmerdeka.kemdikbud.go.id/program/magang/browse"
"13","Link daftar Studi Independen","Silahkan kunjungi link berikut untuk informasi tersebut  : https://kampusmerdeka.kemdikbud.go.id/program/studi-independen/browse"
"14","Link tentang MSIB","Silahkan kunjungi link berikut untuk informasi tersebut  : https://pusatinformasi.kampusmerdeka.kemdikbud.go.id/hc/en-us/sections/6153673960217-Mahasiswa"
"15","Cara mendaftar program MSIB","Silahkan kunjungi link berikut untuk informasi tersebut  : https://pusatinformasi.kampusmerdeka.kemdikbud.go.id/hc/en-us/articles/4417215860633-Mencari-Kegiatan-dan-Mendaftar-Program-MSIB"
"16","Cara membuat akun Kampus Merdeka","Silahkan kunjungi link berikut untuk informasi tersebut  : https://pusatinformasi.kampusmerdeka.kemdikbud.go.id/hc/en-us/articles/4417199313561"
"17","Cara merubah password akun","Silahkan kunjungi link berikut untuk informasi tersebut  : https://pusatinformasi.kampusmerdeka.kemdikbud.go.id/hc/en-us/articles/4417206493849-Cara-Mengubah-Password-Akun"
"18","Status Mahasiswa & Universitas untuk Program MSIB","Silahkan kunjungi link berikut untuk informasi tersebut  : https://pusatinformasi.kampusmerdeka.kemdikbud.go.id/hc/en-us/articles/4417244248345-Status-Mahasiswa-Universitas-untuk-Program-MSIB"
"19","Ketentuan Dokumen untuk Pendaftaran Mahasiswa MSIB","Silahkan kunjungi link berikut untuk informasi tersebut  : https://pusatinformasi.kampusmerdeka.kemdikbud.go.id/hc/en-us/articles/4417256435353-Ketentuan-Dokumen-untuk-Pendaftaran-Mahasiswa-MSIB"
"20","Cara mendapatkan surat rekomendasi Fasilkom","Cara mendapatkan surat rekomendasi fasilkom
1. Isi Form (https://bit.ly/RekomendasiMSIB5)
2. Unduh Form Rekomendasi (https://bit.ly/unduhSR_MSIB5)"
"21","Tentang SPTJM","Tentang SPTJM
1. Unduh Template (http://ringkas.kemdikbud.go.id/SPTJMMSIB5)
2. Isi dengan valid, Isi data diri, kondisi menerima beasiswa lain atau tidak, nama ortu dan tanda tangan, materai 10000 dan tanda tangan mahasiswa, dan nama Dekan
3. SPTJM ditanda tangani Dekan Fakultas, 
Dr. Mayasari, S.S., M.Hum
NIP. 197909262021212005
4. Unggah SPTJM, unggah scan SPTJM (dengan kondisi yang baik dan terang), sudah ttd materai dan ortu/wali, sudah ada nama dekan.
5. Folder SPTJM, unggah versi .docx ke folder https://bit.ly/uploadSPTJM_MSIB5
6. Unduh SPTJM, ada di folder https://bit.ly/unduhSPTJM_MSIB5 "
"22","Tentang transkip nilai","Cara mendapatkan transkip nilai : 
1. Upload Transkip (.docx)
Unduh transkip nilai dari ecampus, lalu konversi ke format .docx. Upload transkip dengan format .docx ke folder https://bit.ly/uploadtranskip_MSIB5
2. Unduh transkip yang sudah ditandatangani dan stempel
Kalau sudah ditandatangani dan stempel, bisa diunduh di folder https://bit.ly/unduhtranskip_MSIB5"
"23","WhatsApp Group MSIB 5","Silahkan join ke grup MSIB 5 : https://chat.whatsapp.com/HHWli9IEFaX1gSTIH7gvxG"
"24","Materi sosialisasi MSIB 5","Silahkan kunjungi link berikut untuk informasi tersebut  : https://bit.ly/materiMSIB5"
"25","Maksimal ikut MBKM","Program kampus merdeka atau kesempatan mahasiswa belajar di luar adalah sebanyak 2 kali"
"26","Prosedur KKN dan MBKM","Prosedur KKN dan MBKM :
1. Jika sudah jelas akan mbkm di smtr depan, atau jelas kkn sdh dikonversi dr mbkm maka silakan pamit ke DPL untuk tidak lanjut kkn
2. Selama belum dinyatakan lulus msib atau mbkm di smtr 7 yg akan dikonversi kkn, maka ttp hrs ikuti semua alur kkn. Kalau nanti sudah lolos baru pamit dr KKN"
"27","Dosen Pembimbing","Menggunakan nama dosen wali."
"28","Konversi","Mahasiswa dapat mengisi usulan Mata Kuliah untuk konversi."
"29","Berapa banyak surat rekomendasi","Surat Rekomendasi cukup 1, untuk seluruh mitra"
"30","Tentang IPK","Jika jumlah beban SKS dan IPK belum sesuai bisa menggunakan data di semester sebelumnya"
"31","Beasiswa yang dimasukan ke SPTJM","Beasiswa dari Kemendikbudristek, KJMU dan KIP."
"32","Tanda tangan digital","Boleh menggunakan tanda tangan digital"
"33","Konversi KKN","Hanya bisa untuk mahasiswa semester 6 ke semester 7"
"34","Waktu tanda tangan administrasi","Sekitar 3 hari sampai 1 minggu"
"35","Pembatalan offering mitra setelah diterima","Tidak bisa dibatalkan ketika mahasiswa sudah menerima offering"
"36","Belum punya KTM","Bisa menggunakan surat rekomendasi atau surat keterangan mahasiswa aktif"
